# Phase 7 Li diffusion coefficients (APPARENT/comparative under this MD protocol).
# D = slope/(2*dim): 3D /6, xy /4, z /2.  D[cm^2/s] = D[A^2/ps]*1e-4.
# linearity_ratio = late-half slope / early-half slope in window (~1 linear; >1 super-diffusive; <1 saturating).
model,component,fit_start_ps,fit_end_ps,n_points,slope_A2_per_ps,D_A2_per_ps,D_cm2_per_s,r2,linearity_ratio,regime
model_a,3d,1.0,5.0,161,290.6136,4.843560e+01,4.843560e-03,0.9769,1.860,super-diffusive (slope rising; no clear Fickian regime)
model_a,xy,1.0,5.0,161,290.5869,7.264672e+01,7.264672e-03,0.9769,1.860,super-diffusive (slope rising; no clear Fickian regime)
model_a,z,1.0,5.0,161,0.0267,1.337221e-02,1.337221e-06,0.1746,0.952,confined plateau (no diffusion; D not physically meaningful)
model_b,3d,1.0,5.0,161,286.6575,4.777624e+01,4.777624e-03,0.9968,1.079,approximately linear
model_b,xy,1.0,5.0,161,286.6974,7.167435e+01,7.167435e-03,0.9968,1.078,approximately linear
model_b,z,1.0,5.0,161,-0.0399,-1.996106e-02,-1.996106e-06,0.2538,-0.474,confined plateau (no diffusion; D not physically meaningful)
