# MSD for model_b_1200K from trajectories/model_b_ramp_1200K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.298561,0.197990,0.100571,400,4
0.050000,1.014147,0.675914,0.338233,399,4
0.075000,1.970896,1.336028,0.634868,398,4
0.100000,3.097492,2.165182,0.932310,397,4
0.125000,4.320326,3.141106,1.179220,396,4
0.150000,5.591421,4.240183,1.351237,395,4
0.175000,6.892898,5.448949,1.443949,394,4
0.200000,8.233457,6.764237,1.469220,393,4
0.225000,9.629317,8.180487,1.448830,392,4
0.250000,11.098645,9.690660,1.407985,391,4
0.275000,12.651286,11.287669,1.363617,390,4
0.300000,14.301544,12.971483,1.330061,389,4
0.325000,16.055551,14.743194,1.312357,388,4
0.350000,17.934810,16.622105,1.312705,387,4
0.375000,19.942135,18.610964,1.331171,386,4
0.400000,22.073140,20.705992,1.367148,385,4
0.425000,24.318429,22.903378,1.415051,384,4
0.450000,26.662468,25.193915,1.468553,383,4
0.475000,29.095746,27.575001,1.520745,382,4
0.500000,31.624225,30.056775,1.567451,381,4
0.525000,34.247338,32.638027,1.609311,380,4
0.550000,36.967490,35.321147,1.646343,379,4
0.575000,39.772465,38.096153,1.676312,378,4
0.600000,42.655027,40.957680,1.697347,377,4
0.625000,45.609321,43.898450,1.710871,376,4
0.650000,48.632265,46.913049,1.719217,375,4
0.675000,51.721257,49.997992,1.723265,374,4
0.700000,54.885199,53.161808,1.723392,373,4
0.725000,58.142741,56.421032,1.721709,372,4
0.750000,61.484099,59.767877,1.716222,371,4
0.775000,64.901617,63.196165,1.705452,370,4
0.800000,68.393201,66.700551,1.692650,369,4
0.825000,71.964296,70.278768,1.685528,368,4
0.850000,75.619510,73.932104,1.687407,367,4
0.875000,79.359561,77.660095,1.699466,366,4
0.900000,83.198755,81.479048,1.719707,365,4
0.925000,87.140371,85.396214,1.744157,364,4
0.950000,91.171105,89.401250,1.769855,363,4
0.975000,95.282833,93.491471,1.791362,362,4
1.000000,99.465938,97.659999,1.805939,361,4
1.025000,103.713931,101.897920,1.816011,360,4
1.050000,108.025838,106.204573,1.821265,359,4
1.075000,112.409340,110.586793,1.822547,358,4
1.100000,116.864044,115.040092,1.823952,357,4
1.125000,121.376078,119.549612,1.826465,356,4
1.150000,125.941312,124.112820,1.828492,355,4
1.175000,130.552171,128.720967,1.831205,354,4
1.200000,135.214065,133.373673,1.840392,353,4
1.225000,139.926486,138.069524,1.856962,352,4
1.250000,144.688237,142.808342,1.879895,351,4
1.275000,149.498393,147.595884,1.902509,350,4
1.300000,154.357473,152.435970,1.921503,349,4
1.325000,159.239859,157.308565,1.931294,348,4
1.350000,164.134354,162.207561,1.926793,347,4
1.375000,169.042720,167.130879,1.911841,346,4
1.400000,173.981838,172.090244,1.891594,345,4
1.425000,178.971376,177.101310,1.870066,344,4
1.450000,184.029630,182.174272,1.855358,343,4
1.475000,189.175121,187.327107,1.848014,342,4
1.500000,194.397707,192.551370,1.846336,341,4
1.525000,199.673367,197.829800,1.843567,340,4
1.550000,205.000577,203.169788,1.830789,339,4
1.575000,210.370770,208.564271,1.806499,338,4
1.600000,215.794297,214.019882,1.774415,337,4
1.625000,221.290258,219.548892,1.741366,336,4
1.650000,226.856406,225.143599,1.712807,335,4
1.675000,232.505758,230.815054,1.690705,334,4
1.700000,238.239509,236.560964,1.678545,333,4
1.725000,244.038828,242.360242,1.678586,332,4
1.750000,249.897691,248.206759,1.690932,331,4
1.775000,255.836553,254.124783,1.711770,330,4
1.800000,261.849658,260.117069,1.732589,329,4
1.825000,267.937016,266.184090,1.752926,328,4
1.850000,274.083744,272.313613,1.770132,327,4
1.875000,280.289553,278.509386,1.780167,326,4
1.900000,286.567935,284.782625,1.785310,325,4
1.925000,292.913620,291.132921,1.780699,324,4
