# MSD for model_b_900K from trajectories/model_b_ramp_900K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
3.150000,163.712028,163.015336,0.696692,275,4
3.175000,165.438751,164.734919,0.703832,274,4
3.200000,167.181734,166.459463,0.722270,273,4
3.225000,168.933901,168.189001,0.744900,272,4
3.250000,170.687125,169.923121,0.764004,271,4
3.275000,172.436530,171.663233,0.773298,270,4
3.300000,174.178390,173.407141,0.771249,269,4
3.325000,175.901878,175.144351,0.757527,268,4
3.350000,177.600209,176.865534,0.734675,267,4
3.375000,179.283880,178.575900,0.707981,266,4
3.400000,180.969038,180.285095,0.683944,265,4
3.425000,182.665239,181.996064,0.669175,264,4
3.450000,184.363407,183.696724,0.666683,263,4
3.475000,186.058961,185.384261,0.674701,262,4
3.500000,187.750507,187.062076,0.688430,261,4
3.525000,189.436493,188.733022,0.703471,260,4
3.550000,191.110550,190.392301,0.718249,259,4
3.575000,192.764047,192.034756,0.729291,258,4
3.600000,194.393631,193.661755,0.731876,257,4
3.625000,195.998692,195.272219,0.726473,256,4
3.650000,197.571588,196.855770,0.715818,255,4
3.675000,199.121445,198.419795,0.701650,254,4
3.700000,200.657441,199.969655,0.687786,253,4
3.725000,202.181295,201.503085,0.678210,252,4
3.750000,203.695869,203.019617,0.676252,251,4
3.775000,205.201997,204.522365,0.679632,250,4
3.800000,206.699348,206.015957,0.683391,249,4
3.825000,208.172535,207.488167,0.684369,248,4
3.850000,209.620257,208.936845,0.683412,247,4
3.875000,211.044332,210.363457,0.680876,246,4
3.900000,212.453664,211.777004,0.676659,245,4
3.925000,213.847519,213.175431,0.672088,244,4
3.950000,215.216437,214.548596,0.667840,243,4
3.975000,216.571020,215.906980,0.664040,242,4
4.000000,217.915820,217.255544,0.660277,241,4
4.025000,219.256262,218.599648,0.656614,240,4
4.050000,220.593517,219.939514,0.654003,239,4
4.075000,221.917292,221.263821,0.653471,238,4
4.100000,223.207149,222.553420,0.653729,237,4
4.125000,224.458686,223.804590,0.654096,236,4
4.150000,225.683244,225.028009,0.655235,235,4
4.175000,226.879264,226.220913,0.658351,234,4
4.200000,228.059305,227.395149,0.664156,233,4
4.225000,229.229494,228.554558,0.674936,232,4
4.250000,230.392508,229.704547,0.687961,231,4
4.275000,231.548282,230.846979,0.701303,230,4
4.300000,232.695711,231.981930,0.713781,229,4
4.325000,233.817587,233.096117,0.721470,228,4
4.350000,234.912560,234.189545,0.723015,227,4
4.375000,235.989823,235.270654,0.719169,226,4
4.400000,237.049714,236.339003,0.710711,225,4
4.425000,238.091775,237.391869,0.699906,224,4
4.450000,239.114635,238.426606,0.688030,223,4
4.475000,240.103622,239.427581,0.676041,222,4
4.500000,241.052536,240.386020,0.666517,221,4
4.525000,241.972808,241.310713,0.662095,220,4
4.550000,242.871956,242.207887,0.664069,219,4
4.575000,243.731922,243.062806,0.669116,218,4
4.600000,244.551051,243.879220,0.671830,217,4
4.625000,245.324764,244.653679,0.671085,216,4
4.650000,246.049225,245.383273,0.665952,215,4
4.675000,246.736635,246.077933,0.658702,214,4
4.700000,247.389469,246.739894,0.649575,213,4
4.725000,248.013039,247.369494,0.643545,212,4
4.750000,248.624568,247.981076,0.643492,211,4
4.775000,249.215985,248.565207,0.650777,210,4
4.800000,249.786033,249.120591,0.665442,209,4
4.825000,250.334042,249.650083,0.683960,208,4
4.850000,250.845250,250.143103,0.702147,207,4
4.875000,251.314852,250.597354,0.717498,206,4
4.900000,251.754005,251.027351,0.726654,205,4
4.925000,252.155138,251.429416,0.725722,204,4
4.950000,252.514090,251.798357,0.715733,203,4
4.975000,252.819138,252.119889,0.699249,202,4
5.000000,253.076939,252.396103,0.680837,201,4
5.025000,253.267265,252.600995,0.666269,200,4
5.050000,253.408789,252.749354,0.659436,199,4
5.075000,253.532486,252.872741,0.659745,198,4
5.100000,253.617351,252.953961,0.663390,197,4
5.125000,253.665583,252.998128,0.667455,196,4
5.150000,253.664961,252.992171,0.672790,195,4
5.175000,253.628545,252.950160,0.678385,194,4
5.200000,253.542384,252.858813,0.683571,193,4
5.225000,253.399726,252.713521,0.686205,192,4
5.250000,253.203310,252.519178,0.684133,191,4
5.275000,252.960534,252.282848,0.677686,190,4
5.300000,252.681211,252.011617,0.669594,189,4
5.325000,252.367944,251.709140,0.658803,188,4
5.350000,252.022472,251.377283,0.645188,187,4
5.375000,251.657801,251.024083,0.633717,186,4
5.400000,251.298652,250.671414,0.627238,185,4
5.425000,250.923317,250.291237,0.632080,184,4
5.450000,250.534160,249.886265,0.647895,183,4
5.475000,250.134608,249.464338,0.670270,182,4
5.500000,249.709093,249.018263,0.690829,181,4
5.525000,249.231803,248.529613,0.702190,180,4
5.550000,248.695255,247.994869,0.700386,179,4
5.575000,248.096840,247.410995,0.685845,178,4
5.600000,247.452254,246.788394,0.663860,177,4
5.625000,246.785311,246.142875,0.642436,176,4
5.650000,246.081192,245.454364,0.626828,175,4
5.675000,245.348954,244.729056,0.619898,174,4
5.700000,244.618259,243.997518,0.620741,173,4
5.725000,243.882691,243.255683,0.627008,172,4
5.750000,243.132197,242.496649,0.635547,171,4
5.775000,242.367954,241.726019,0.641935,170,4
5.800000,241.583150,240.935880,0.647271,169,4
5.825000,240.785794,240.133098,0.652696,168,4
5.850000,239.980387,239.319965,0.660423,167,4
5.875000,239.191939,238.518191,0.673748,166,4
5.900000,238.416946,237.730345,0.686601,165,4
5.925000,237.642298,236.948518,0.693781,164,4
5.950000,236.852392,236.159261,0.693131,163,4
5.975000,236.063791,235.380093,0.683698,162,4
6.000000,235.317772,234.651824,0.665947,161,4
6.025000,234.585390,233.943322,0.642067,160,4
6.050000,233.861466,233.243440,0.618027,159,4
6.075000,233.129408,232.527498,0.601911,158,4
6.100000,232.414869,231.815486,0.599383,157,4
6.125000,231.713105,231.100546,0.612559,156,4
6.150000,231.006973,230.370986,0.635987,155,4
6.175000,230.294587,229.638091,0.656496,154,4
6.200000,229.572902,228.915101,0.657801,153,4
6.225000,228.846720,228.214234,0.632486,152,4
6.250000,228.080414,227.492428,0.587987,151,4
6.275000,227.288601,226.749293,0.539308,150,4
6.300000,226.511905,226.009424,0.502481,149,4
6.325000,225.776024,225.289486,0.486537,148,4
6.350000,225.052336,224.560743,0.491592,147,4
6.375000,224.292464,223.785185,0.507278,146,4
6.400000,223.494892,222.971594,0.523298,145,4
6.425000,222.677568,222.146408,0.531160,144,4
6.450000,221.855893,221.323178,0.532714,143,4
6.475000,221.043474,220.509522,0.533952,142,4
6.500000,220.241272,219.705414,0.535858,141,4
6.525000,219.467407,218.926918,0.540489,140,4
6.550000,218.739566,218.188757,0.550809,139,4
6.575000,218.043901,217.480688,0.563213,138,4
6.600000,217.375151,216.800885,0.574266,137,4
6.625000,216.726086,216.141981,0.584104,136,4
6.650000,216.105945,215.509960,0.595985,135,4
6.675000,215.518034,214.906978,0.611056,134,4
6.700000,214.941217,214.314135,0.627082,133,4
6.725000,214.388918,213.749968,0.638950,132,4
6.750000,213.858431,213.220040,0.638391,131,4
6.775000,213.326852,212.704904,0.621949,130,4
6.800000,212.820910,212.225500,0.595410,129,4
6.825000,212.354355,211.790827,0.563529,128,4
6.850000,211.945238,211.411978,0.533259,127,4
6.875000,211.597605,211.087966,0.509639,126,4
6.900000,211.278836,210.783217,0.495619,125,4
6.925000,211.008150,210.521260,0.486890,124,4
6.950000,210.783079,210.301921,0.481157,123,4
6.975000,210.619791,210.143469,0.476323,122,4
7.000000,210.505724,210.032280,0.473444,121,4
7.025000,210.412521,209.941419,0.471101,120,4
7.050000,210.363733,209.895394,0.468339,119,4
7.075000,210.367159,209.902651,0.464508,118,4
7.100000,210.433453,209.972123,0.461330,117,4
7.125000,210.547875,210.088892,0.458983,116,4
7.150000,210.712215,210.254112,0.458103,115,4
7.175000,210.944066,210.482859,0.461207,114,4
7.200000,211.222383,210.756960,0.465423,113,4
7.225000,211.532137,211.066787,0.465349,112,4
7.250000,211.847367,211.390336,0.457031,111,4
7.275000,212.149081,211.707771,0.441310,110,4
7.300000,212.406896,211.981029,0.425867,109,4
7.325000,212.655107,212.238287,0.416820,108,4
7.350000,212.904472,212.482101,0.422371,107,4
7.375000,213.128310,212.685977,0.442333,106,4
7.400000,213.349817,212.880097,0.469720,105,4
7.425000,213.560334,213.066522,0.493812,104,4
7.450000,213.798768,213.293660,0.505108,103,4
7.475000,214.077097,213.576440,0.500658,102,4
7.500000,214.423005,213.940775,0.482230,101,4
7.525000,214.821399,214.361177,0.460221,100,4
