# MSD for model_b_300K from trajectories/model_b_ramp_300K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.077536,0.046538,0.030998,400,4
0.050000,0.251715,0.144974,0.106741,399,4
0.075000,0.456463,0.264728,0.191734,398,4
0.100000,0.649616,0.397037,0.252579,397,4
0.125000,0.805197,0.533955,0.271243,396,4
0.150000,0.921203,0.672481,0.248722,395,4
0.175000,1.015236,0.811315,0.203922,394,4
0.200000,1.115637,0.952600,0.163037,393,4
0.225000,1.247066,1.099779,0.147286,392,4
0.250000,1.418699,1.256043,0.162656,391,4
0.275000,1.620847,1.422226,0.198621,390,4
0.300000,1.835561,1.599657,0.235904,389,4
0.325000,2.043883,1.786534,0.257349,388,4
0.350000,2.234756,1.978520,0.256236,387,4
0.375000,2.411890,2.174652,0.237237,386,4
0.400000,2.588640,2.374497,0.214142,385,4
0.425000,2.778603,2.576328,0.202274,384,4
0.450000,2.986961,2.776376,0.210585,383,4
0.475000,3.209469,2.972596,0.236873,382,4
0.500000,3.433332,3.163875,0.269457,381,4
0.525000,3.645851,3.352252,0.293599,380,4
0.550000,3.841209,3.542065,0.299143,379,4
0.575000,4.016202,3.731416,0.284786,378,4
0.600000,4.180748,3.922140,0.258607,377,4
0.625000,4.348757,4.114396,0.234361,376,4
0.650000,4.529946,4.305589,0.224357,375,4
0.675000,4.727357,4.494899,0.232459,374,4
0.700000,4.935458,4.682069,0.253389,373,4
0.725000,5.142539,4.866323,0.276216,372,4
0.750000,5.338639,5.048336,0.290303,371,4
0.775000,5.519885,5.229740,0.290145,370,4
0.800000,5.688398,5.411207,0.277191,369,4
0.825000,5.852633,5.593679,0.258954,368,4
0.850000,6.024405,5.779476,0.244929,367,4
0.875000,6.211311,5.969742,0.241569,366,4
0.900000,6.413199,6.164259,0.248940,365,4
0.925000,6.621575,6.360491,0.261084,364,4
0.950000,6.829182,6.558810,0.270372,363,4
0.975000,7.031736,6.760148,0.271589,362,4
1.000000,7.228207,6.963834,0.264373,361,4
1.025000,7.417451,7.164937,0.252515,360,4
1.050000,7.603483,7.360890,0.242592,359,4
1.075000,7.790786,7.549515,0.241272,358,4
1.100000,7.980507,7.729707,0.250800,357,4
1.125000,8.172099,7.904609,0.267490,356,4
1.150000,8.361119,8.076512,0.284607,355,4
1.175000,8.541675,8.246269,0.295406,354,4
1.200000,8.710709,8.414821,0.295887,353,4
1.225000,8.871930,8.584161,0.287768,352,4
1.250000,9.030148,8.753851,0.276297,351,4
1.275000,9.190507,8.922005,0.268501,350,4
1.300000,9.358684,9.087962,0.270723,349,4
1.325000,9.535620,9.251564,0.284055,348,4
1.350000,9.715438,9.411871,0.303567,347,4
1.375000,9.892754,9.571446,0.321308,346,4
1.400000,10.061226,9.731131,0.330095,345,4
1.425000,10.217898,9.890822,0.327076,344,4
1.450000,10.366398,10.051279,0.315120,343,4
1.475000,10.515116,10.213694,0.301422,342,4
1.500000,10.670571,10.376500,0.294071,341,4
1.525000,10.836047,10.537421,0.298626,340,4
1.550000,11.008179,10.694063,0.314116,339,4
1.575000,11.178434,10.844830,0.333604,338,4
1.600000,11.337396,10.989239,0.348158,337,4
1.625000,11.479633,11.128227,0.351406,336,4
1.650000,11.605965,11.263868,0.342097,335,4
1.675000,11.723230,11.398512,0.324718,334,4
1.700000,11.841191,11.533201,0.307991,333,4
1.725000,11.968457,11.667538,0.300919,332,4
1.750000,12.107209,11.799809,0.307400,331,4
1.775000,12.251112,11.927619,0.323493,330,4
1.800000,12.392087,12.051206,0.340881,329,4
1.825000,12.521844,12.170597,0.351247,328,4
1.850000,12.635992,12.286191,0.349800,327,4
1.875000,12.735205,12.398089,0.337116,326,4
1.900000,12.826191,12.506537,0.319654,325,4
1.925000,12.919606,12.612765,0.306841,324,4
1.950000,13.023238,12.717446,0.305793,323,4
1.975000,13.136088,12.819361,0.316726,322,4
2.000000,13.252670,12.919229,0.333441,321,4
2.025000,13.366364,13.018519,0.347845,320,4
2.050000,13.470687,13.117083,0.353604,319,4
2.075000,13.567438,13.219115,0.348323,318,4
2.100000,13.660070,13.325394,0.334676,317,4
2.125000,13.753625,13.434321,0.319305,316,4
2.150000,13.856578,13.546677,0.309901,315,4
2.175000,13.973710,13.662882,0.310827,314,4
2.200000,14.105875,13.785985,0.319890,313,4
