# MSD for model_a_300K from trajectories/model_a_ramp_300K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.047055,0.025383,0.021672,400,4
0.050000,0.148939,0.075133,0.073807,399,4
0.075000,0.262990,0.135249,0.127741,398,4
0.100000,0.361174,0.204654,0.156520,397,4
0.125000,0.430531,0.283367,0.147164,396,4
0.150000,0.473585,0.368132,0.105453,395,4
0.175000,0.512142,0.458800,0.053341,394,4
0.200000,0.577750,0.558734,0.019016,393,4
0.225000,0.690085,0.668765,0.021320,392,4
0.250000,0.848441,0.790562,0.057878,391,4
0.275000,1.031355,0.924206,0.107150,390,4
0.300000,1.213109,1.070643,0.142466,389,4
0.325000,1.377663,1.231128,0.146535,388,4
0.350000,1.523269,1.404657,0.118612,387,4
0.375000,1.662104,1.588060,0.074045,386,4
0.400000,1.816368,1.779380,0.036988,385,4
0.425000,2.006500,1.978581,0.027918,384,4
0.450000,2.238424,2.186981,0.051444,383,4
0.475000,2.496915,2.403675,0.093241,382,4
0.500000,2.759499,2.629628,0.129871,381,4
0.525000,3.007219,2.864792,0.142427,380,4
0.550000,3.236743,3.111463,0.125280,379,4
0.575000,3.457457,3.369496,0.087962,378,4
0.600000,3.690042,3.639244,0.050798,377,4
0.625000,3.956367,3.922142,0.034226,376,4
0.650000,4.265633,4.218601,0.047033,375,4
0.675000,4.608124,4.526969,0.081155,374,4
0.700000,4.961326,4.844212,0.117114,373,4
0.725000,5.305624,5.169905,0.135719,372,4
0.750000,5.632483,5.504412,0.128071,371,4
0.775000,5.947695,5.848687,0.099008,370,4
0.800000,6.267431,6.202957,0.064475,369,4
0.825000,6.609726,6.566333,0.043393,368,4
0.850000,6.986895,6.939650,0.047245,367,4
0.875000,7.397182,7.323884,0.073299,366,4
0.900000,7.826025,7.719569,0.106457,365,4
0.925000,8.255149,8.126465,0.128683,364,4
0.950000,8.673045,8.544189,0.128856,363,4
0.975000,9.080154,8.972420,0.107735,362,4
1.000000,9.487535,9.410588,0.076947,361,4
1.025000,9.910018,9.856775,0.053243,360,4
1.050000,10.360757,10.311491,0.049265,359,4
1.075000,10.843174,10.776672,0.066501,358,4
1.100000,11.347690,11.252998,0.094692,357,4
1.125000,11.856191,11.738037,0.118154,356,4
1.150000,12.355982,12.231269,0.124713,355,4
1.175000,12.845891,12.734150,0.111740,354,4
1.200000,13.335062,13.248083,0.086979,353,4
1.225000,13.836908,13.772729,0.064179,352,4
1.250000,14.362125,14.306856,0.055270,351,4
1.275000,14.915275,14.850941,0.064334,350,4
1.300000,15.489962,15.403978,0.085984,349,4
1.325000,16.073925,15.965909,0.108016,348,4
1.350000,16.654302,16.535872,0.118430,347,4
1.375000,17.228846,17.116671,0.112175,346,4
1.400000,17.802353,17.708793,0.093560,345,4
1.425000,18.383192,18.310093,0.073100,344,4
1.450000,18.979643,18.917946,0.061698,343,4
1.475000,19.598555,19.533390,0.065164,342,4
1.500000,20.238499,20.157351,0.081148,341,4
1.525000,20.890023,20.789605,0.100418,340,4
1.550000,21.542824,21.430426,0.112399,339,4
1.575000,22.192347,22.081423,0.110924,338,4
1.600000,22.839699,22.742223,0.097476,337,4
1.625000,23.491218,23.411366,0.079852,336,4
1.650000,24.156598,24.088989,0.067609,335,4
1.675000,24.843764,24.776665,0.067099,334,4
1.700000,25.552883,25.474649,0.078234,333,4
1.725000,26.277621,26.182869,0.094752,332,4
1.750000,27.006564,26.899061,0.107503,331,4
1.775000,27.731402,27.621785,0.109617,330,4
1.800000,28.451023,28.350544,0.100479,329,4
1.825000,29.170876,29.085037,0.085839,328,4
1.850000,29.901269,29.827409,0.073860,327,4
1.875000,30.650628,30.580107,0.070520,326,4
1.900000,31.421244,31.344154,0.077090,325,4
1.925000,32.208195,32.118430,0.089765,324,4
1.950000,33.003431,32.901939,0.101493,323,4
1.975000,33.799254,33.693318,0.105936,322,4
2.000000,34.593671,34.492580,0.101091,321,4
2.025000,35.392047,35.301509,0.090538,320,4
2.050000,36.200344,36.119778,0.080566,319,4
2.075000,37.020775,36.944362,0.076414,318,4
2.100000,37.854074,37.774207,0.079866,317,4
2.125000,38.697919,38.609238,0.088681,316,4
2.150000,39.550027,39.452235,0.097792,315,4
2.175000,40.407922,40.306056,0.101865,314,4
2.200000,41.267987,41.169233,0.098754,313,4
2.225000,42.132996,42.042106,0.090890,312,4
2.250000,43.007976,42.924378,0.083598,311,4
2.275000,43.895323,43.814151,0.081173,310,4
2.300000,44.794077,44.709340,0.084736,309,4
2.325000,45.703929,45.611880,0.092048,308,4
2.350000,46.620903,46.522264,0.098639,307,4
2.375000,47.542011,47.441553,0.100458,306,4
2.400000,48.464964,48.368666,0.096299,305,4
2.425000,49.391723,49.303065,0.088658,304,4
2.450000,50.326428,50.244041,0.082387,303,4
2.475000,51.272437,51.191006,0.081432,302,4
2.500000,52.232732,52.146240,0.086492,301,4
2.525000,53.205497,53.110913,0.094584,300,4
2.550000,54.184241,54.083292,0.100949,299,4
2.575000,55.164566,55.063016,0.101550,298,4
2.600000,56.145617,56.050005,0.095612,297,4
2.625000,57.130927,57.044289,0.086638,296,4
2.650000,58.125415,58.045232,0.080183,295,4
2.675000,59.134352,59.054049,0.080303,294,4
2.700000,60.157876,60.070731,0.087146,293,4
2.725000,61.190962,61.094118,0.096845,292,4
2.750000,62.229730,62.125790,0.103940,291,4
2.775000,63.269776,63.165744,0.104032,290,4
2.800000,64.311717,64.215390,0.096327,289,4
2.825000,65.359879,65.275148,0.084731,288,4
2.850000,66.419661,66.343614,0.076048,287,4
2.875000,67.495342,67.419682,0.075660,286,4
2.900000,68.587833,68.503540,0.084293,285,4
2.925000,69.692113,69.594802,0.097311,284,4
2.950000,70.800440,70.692804,0.107636,283,4
2.975000,71.908683,71.799100,0.109583,282,4
3.000000,73.015164,72.913396,0.101768,281,4
3.025000,74.121561,74.033576,0.087985,280,4
3.050000,75.235215,75.159416,0.075799,279,4
3.075000,76.363836,76.291478,0.072358,278,4
3.100000,77.509809,77.430116,0.079693,277,4
3.125000,78.668355,78.574601,0.093754,276,4
3.150000,79.831945,79.724900,0.107045,275,4
3.175000,80.992723,80.880242,0.112481,274,4
3.200000,82.147799,82.040833,0.106966,273,4
3.225000,83.302691,83.209449,0.093242,272,4
3.250000,84.464918,84.386278,0.078640,271,4
3.275000,85.642604,85.571066,0.071538,270,4
3.300000,86.838815,86.762928,0.075887,269,4
3.325000,88.047773,87.958869,0.088903,268,4
3.350000,89.263069,89.159573,0.103496,267,4
3.375000,90.477438,90.365375,0.112063,266,4
3.400000,91.688668,91.578504,0.110164,265,4
3.425000,92.898491,92.799804,0.098687,264,4
3.450000,94.112448,94.028849,0.083599,263,4
3.475000,95.336862,95.263498,0.073364,262,4
3.500000,96.576235,96.502516,0.073719,261,4
3.525000,97.832370,97.748448,0.083922,260,4
3.550000,99.102025,99.004053,0.097972,259,4
