# MSD for model_a_900K from trajectories/model_a_ramp_900K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.233672,0.153140,0.080532,400,4
0.050000,0.803205,0.524352,0.278853,399,4
0.075000,1.554687,1.026475,0.528212,398,4
0.100000,2.406019,1.639726,0.766293,397,4
0.125000,3.308426,2.357802,0.950624,396,4
0.150000,4.238173,3.174497,1.063676,395,4
0.175000,5.199980,4.091624,1.108355,394,4
0.200000,6.217086,5.112905,1.104181,393,4
0.225000,7.309381,6.234978,1.074403,392,4
0.250000,8.495654,7.453477,1.042177,391,4
0.275000,9.795928,8.772007,1.023921,390,4
0.300000,11.218376,10.194523,1.023853,389,4
0.325000,12.752199,11.715069,1.037129,388,4
0.350000,14.382957,13.327975,1.054982,387,4
0.375000,16.100211,15.031615,1.068597,386,4
0.400000,17.899418,16.826466,1.072952,385,4
0.425000,19.780735,18.713363,1.067373,384,4
0.450000,21.760243,20.700254,1.059989,383,4
0.475000,23.848562,22.790808,1.057755,382,4
0.500000,26.044261,24.977974,1.066287,381,4
0.525000,28.346108,27.257798,1.088310,380,4
0.550000,30.753367,29.631826,1.121540,379,4
0.575000,33.259444,32.100639,1.158804,378,4
0.600000,35.863900,34.671153,1.192748,377,4
0.625000,38.562044,37.343676,1.218367,376,4
0.650000,41.338540,40.110316,1.228223,375,4
0.675000,44.189927,42.971766,1.218161,374,4
0.700000,47.127738,45.934469,1.193268,373,4
0.725000,50.157201,48.992692,1.164509,372,4
0.750000,53.283878,52.141680,1.142197,371,4
0.775000,56.517051,55.380865,1.136186,370,4
0.800000,59.859603,58.709914,1.149689,369,4
0.825000,63.310800,62.128438,1.182361,368,4
0.850000,66.868790,65.642398,1.226393,367,4
0.875000,70.532899,69.260474,1.272425,366,4
0.900000,74.292942,72.982064,1.310878,365,4
0.925000,78.139422,76.802424,1.336998,364,4
0.950000,82.068184,80.715587,1.352597,363,4
0.975000,86.079920,84.718329,1.361591,362,4
1.000000,90.173425,88.807412,1.366013,361,4
1.025000,94.352625,92.986163,1.366461,360,4
1.050000,98.629418,97.266123,1.363295,359,4
1.075000,103.006661,101.648531,1.358131,358,4
1.100000,107.485515,106.131756,1.353759,357,4
1.125000,112.063655,110.709340,1.354315,356,4
1.150000,116.738396,115.378176,1.360220,355,4
1.175000,121.500977,120.132847,1.368130,354,4
1.200000,126.351868,124.976571,1.375297,353,4
1.225000,131.293922,129.914414,1.379508,352,4
1.250000,136.317946,134.939523,1.378423,351,4
1.275000,141.413488,140.044251,1.369237,350,4
1.300000,146.580623,145.226948,1.353675,349,4
1.325000,151.824269,150.489793,1.334477,348,4
1.350000,157.144278,155.829378,1.314900,347,4
1.375000,162.540620,161.240652,1.299968,346,4
1.400000,168.024997,166.732497,1.292500,345,4
1.425000,173.607737,172.315487,1.292251,344,4
1.450000,179.275198,177.977340,1.297858,343,4
1.475000,185.021016,183.714492,1.306524,342,4
1.500000,190.852600,189.538817,1.313783,341,4
1.525000,196.778418,195.461220,1.317198,340,4
1.550000,202.799327,201.480531,1.318795,339,4
1.575000,208.909279,207.589169,1.320110,338,4
1.600000,215.108581,213.786621,1.321959,337,4
1.625000,221.401079,220.076482,1.324597,336,4
1.650000,227.782741,226.456082,1.326659,335,4
1.675000,234.254518,232.925522,1.328996,334,4
1.700000,240.811905,239.479515,1.332390,333,4
1.725000,247.450571,246.112274,1.338297,332,4
1.750000,254.172958,252.824319,1.348640,331,4
1.775000,260.979424,259.614012,1.365413,330,4
1.800000,267.868459,266.479703,1.388756,329,4
1.825000,274.834390,273.421206,1.413184,328,4
1.850000,281.872948,280.446764,1.426184,327,4
1.875000,288.981914,287.560192,1.421722,326,4
1.900000,296.169851,294.762184,1.407667,325,4
1.925000,303.445974,302.054918,1.391056,324,4
1.950000,310.820893,309.443391,1.377502,323,4
1.975000,318.295278,316.924805,1.370473,322,4
2.000000,325.867620,324.497414,1.370206,321,4
2.025000,333.525857,332.148958,1.376899,320,4
2.050000,341.265355,339.873212,1.392143,319,4
2.075000,349.094043,347.679975,1.414068,318,4
2.100000,357.015360,355.579517,1.435844,317,4
2.125000,365.014589,363.564587,1.450003,316,4
2.150000,373.086720,371.633306,1.453414,315,4
2.175000,381.237048,379.792752,1.444296,314,4
2.200000,389.467763,388.042127,1.425636,313,4
2.225000,397.785721,396.382017,1.403704,312,4
2.250000,406.207865,404.820717,1.387148,311,4
2.275000,414.737604,413.358623,1.378981,310,4
2.300000,423.381193,422.000565,1.380628,309,4
2.325000,432.128803,430.740770,1.388033,308,4
2.350000,440.966219,439.571164,1.395055,307,4
2.375000,449.897307,448.498372,1.398934,306,4
2.400000,458.909611,457.510669,1.398942,305,4
2.425000,467.986891,466.593260,1.393631,304,4
2.450000,477.142216,475.760397,1.381819,303,4
2.475000,486.392443,485.023375,1.369068,302,4
2.500000,495.744868,494.380276,1.364592,301,4
2.525000,505.214896,503.837511,1.377385,300,4
2.550000,514.792770,513.387577,1.405194,299,4
2.575000,524.477242,523.037071,1.440171,298,4
2.600000,534.264304,532.790560,1.473745,297,4
2.625000,544.133817,542.634147,1.499670,296,4
2.650000,554.083355,552.573902,1.509453,295,4
2.675000,564.117678,562.617910,1.499768,294,4
2.700000,574.224475,572.750594,1.473881,293,4
2.725000,584.401231,582.961185,1.440046,292,4
2.750000,594.656767,593.246555,1.410212,291,4
2.775000,604.998307,603.604823,1.393484,290,4
2.800000,615.438127,614.045571,1.392556,289,4
2.825000,625.988405,624.584901,1.403504,288,4
2.850000,636.643948,635.224488,1.419461,287,4
2.875000,647.387348,645.957474,1.429874,286,4
2.900000,658.220886,656.791507,1.429379,285,4
2.925000,669.130221,667.714326,1.415894,284,4
2.950000,680.106316,678.712742,1.393574,283,4
2.975000,691.151218,689.783183,1.368035,282,4
3.000000,702.263100,700.914331,1.348769,281,4
3.025000,713.455916,712.115607,1.340309,280,4
3.050000,724.735162,723.393075,1.342086,279,4
3.075000,736.098619,734.749821,1.348798,278,4
3.100000,747.544340,746.188560,1.355780,277,4
3.125000,759.070159,757.710469,1.359691,276,4
3.150000,770.688448,769.329816,1.358632,275,4
3.175000,782.393735,781.041455,1.352279,274,4
3.200000,794.188383,792.849355,1.339028,273,4
3.225000,806.069663,804.751618,1.318045,272,4
3.250000,818.043063,816.749731,1.293332,271,4
3.275000,830.108376,828.838656,1.269720,270,4
3.300000,842.260357,841.009450,1.250907,269,4
3.325000,854.507832,853.268201,1.239631,268,4
3.350000,866.865311,865.628288,1.237024,267,4
3.375000,879.333950,878.091211,1.242739,266,4
3.400000,891.905772,890.653050,1.252722,265,4
3.425000,904.561234,903.297917,1.263316,264,4
3.450000,917.310850,916.038896,1.271953,263,4
3.475000,930.157357,928.881243,1.276114,262,4
3.500000,943.106984,941.833063,1.273922,261,4
3.525000,956.148315,954.885112,1.263204,260,4
3.550000,969.296102,968.050928,1.245173,259,4
3.575000,982.564773,981.336947,1.227826,258,4
3.600000,995.956050,994.740341,1.215709,257,4
3.625000,1009.453233,1008.249739,1.203493,256,4
3.650000,1023.054110,1021.859666,1.194443,255,4
3.675000,1036.746486,1035.560958,1.185527,254,4
3.700000,1050.533792,1049.359414,1.174378,253,4
3.725000,1064.418585,1063.258867,1.159718,252,4
3.750000,1078.409098,1077.264504,1.144594,251,4
3.775000,1092.513397,1091.380001,1.133396,250,4
3.800000,1106.727941,1105.598985,1.128956,249,4
3.825000,1121.056639,1119.924418,1.132220,248,4
3.850000,1135.483643,1134.339959,1.143684,247,4
3.875000,1150.020513,1148.857462,1.163051,246,4
3.900000,1164.677921,1163.491014,1.186907,245,4
3.925000,1179.436820,1178.226094,1.210726,244,4
3.950000,1194.282617,1193.051873,1.230743,243,4
3.975000,1209.223861,1207.979990,1.243871,242,4
4.000000,1224.250453,1223.001911,1.248543,241,4
4.025000,1239.335350,1238.089392,1.245958,240,4
4.050000,1254.487362,1253.251545,1.235817,239,4
4.075000,1269.708850,1268.489701,1.219149,238,4
4.100000,1285.007883,1283.810263,1.197620,237,4
4.125000,1300.396815,1299.224992,1.171823,236,4
4.150000,1315.867394,1314.725625,1.141769,235,4
4.175000,1331.435683,1330.318120,1.117563,234,4
4.200000,1347.124420,1346.016650,1.107770,233,4
4.225000,1362.922194,1361.808691,1.113504,232,4
4.250000,1378.820169,1377.686925,1.133244,231,4
4.275000,1394.808901,1393.646535,1.162366,230,4
4.300000,1410.882221,1409.690748,1.191473,229,4
4.325000,1427.044550,1425.832500,1.212050,228,4
4.350000,1443.277814,1442.060280,1.217534,227,4
4.375000,1459.588048,1458.379994,1.208054,226,4
4.400000,1475.977512,1474.791246,1.186266,225,4
4.425000,1492.455702,1491.293775,1.161927,224,4
4.450000,1509.031824,1507.889091,1.142733,223,4
4.475000,1525.707752,1524.575435,1.132316,222,4
4.500000,1542.490249,1541.359972,1.130277,221,4
4.525000,1559.387079,1558.251534,1.135545,220,4
4.550000,1576.390255,1575.245167,1.145089,219,4
4.575000,1593.462125,1592.308813,1.153312,218,4
4.600000,1610.590696,1609.434385,1.156312,217,4
4.625000,1627.799196,1626.640577,1.158620,216,4
4.650000,1645.088401,1643.920231,1.168170,215,4
4.675000,1662.479074,1661.288602,1.190472,214,4
4.700000,1679.981449,1678.756192,1.225257,213,4
4.725000,1697.590349,1696.320434,1.269915,212,4
4.750000,1715.298477,1713.982896,1.315581,211,4
4.775000,1733.094681,1731.738661,1.356020,210,4
4.800000,1750.963462,1749.577550,1.385912,209,4
4.825000,1768.903744,1767.501297,1.402447,208,4
4.850000,1786.930630,1785.521890,1.408741,207,4
4.875000,1805.033984,1803.629985,1.403999,206,4
4.900000,1823.210323,1821.820374,1.389948,205,4
4.925000,1841.461797,1840.093553,1.368243,204,4
4.950000,1859.784752,1858.444029,1.340723,203,4
4.975000,1878.165773,1876.857204,1.308569,202,4
5.000000,1896.614298,1895.338376,1.275922,201,4
5.025000,1915.141769,1913.891000,1.250769,200,4
5.050000,1933.752923,1932.513326,1.239596,199,4
5.075000,1952.467165,1951.219439,1.247726,198,4
5.100000,1971.292290,1970.017212,1.275078,197,4
5.125000,1990.217731,1988.902963,1.314768,196,4
5.150000,2009.225682,2007.870799,1.354883,195,4
5.175000,2028.315603,2026.932505,1.383098,194,4
5.200000,2047.485160,2046.091047,1.394112,193,4
5.225000,2066.732499,2065.345660,1.386839,192,4
5.250000,2086.039381,2084.678660,1.360722,191,4
5.275000,2105.409781,2104.089788,1.319993,190,4
5.300000,2124.846698,2123.573881,1.272817,189,4
5.325000,2144.349425,2143.119652,1.229772,188,4
5.350000,2163.919518,2162.715335,1.204183,187,4
5.375000,2183.547043,2182.341143,1.205900,186,4
5.400000,2203.249887,2202.013733,1.236154,185,4
5.425000,2223.017219,2221.730266,1.286953,184,4
5.450000,2242.836351,2241.492318,1.344033,183,4
5.475000,2262.679002,2261.286555,1.392447,182,4
5.500000,2282.548090,2281.126869,1.421221,181,4
5.525000,2302.466009,2301.033141,1.432868,180,4
5.550000,2322.439096,2321.006895,1.432201,179,4
5.575000,2342.455141,2341.032733,1.422408,178,4
5.600000,2362.514064,2361.108357,1.405707,177,4
5.625000,2382.630916,2381.248934,1.381982,176,4
5.650000,2402.814992,2401.463318,1.351675,175,4
5.675000,2423.069387,2421.751406,1.317981,174,4
5.700000,2443.382198,2442.098256,1.283942,173,4
5.725000,2463.733871,2462.480512,1.253359,172,4
5.750000,2484.155328,2482.921873,1.233455,171,4
5.775000,2504.708560,2503.474394,1.234166,170,4
5.800000,2525.366091,2524.106784,1.259308,169,4
5.825000,2546.106780,2544.800823,1.305958,168,4
5.850000,2566.923121,2565.558162,1.364959,167,4
5.875000,2587.785405,2586.362050,1.423355,166,4
5.900000,2608.677245,2607.204034,1.473211,165,4
5.925000,2629.614187,2628.106320,1.507867,164,4
5.950000,2650.598442,2649.077265,1.521177,163,4
5.975000,2671.599756,2670.085240,1.514517,162,4
6.000000,2692.623670,2691.125314,1.498356,161,4
6.025000,2713.672096,2712.190070,1.482026,160,4
6.050000,2734.757785,2733.283334,1.474452,159,4
6.075000,2755.891161,2754.414000,1.477160,158,4
6.100000,2777.096731,2775.609793,1.486938,157,4
6.125000,2798.357974,2796.862326,1.495648,156,4
6.150000,2819.681075,2818.180994,1.500081,155,4
6.175000,2841.083703,2839.582583,1.501119,154,4
6.200000,2862.544640,2861.046692,1.497948,153,4
6.225000,2884.049154,2882.554727,1.494427,152,4
6.250000,2905.603959,2904.120439,1.483521,151,4
6.275000,2927.236714,2925.774479,1.462234,150,4
6.300000,2948.941511,2947.512622,1.428889,149,4
6.325000,2970.712878,2969.319327,1.393552,148,4
6.350000,2992.553754,2991.189023,1.364732,147,4
6.375000,3014.462762,3013.115617,1.347144,146,4
6.400000,3036.433963,3035.090710,1.343253,145,4
6.425000,3058.499190,3057.161710,1.337479,144,4
6.450000,3080.689332,3079.354384,1.334947,143,4
6.475000,3102.992797,3101.663588,1.329209,142,4
6.500000,3125.389035,3124.064627,1.324408,141,4
6.525000,3147.881417,3146.559205,1.322211,140,4
6.550000,3170.455547,3169.136234,1.319313,139,4
6.575000,3193.109008,3191.793590,1.315417,138,4
6.600000,3215.826346,3214.512944,1.313402,137,4
6.625000,3238.586378,3237.274150,1.312228,136,4
6.650000,3261.380533,3260.063330,1.317203,135,4
6.675000,3284.222799,3282.901484,1.321315,134,4
6.700000,3307.162312,3305.838987,1.323325,133,4
6.725000,3330.175855,3328.854128,1.321727,132,4
6.750000,3353.258601,3351.940304,1.318297,131,4
6.775000,3376.425901,3375.116722,1.309179,130,4
6.800000,3399.665389,3398.370461,1.294928,129,4
6.825000,3422.975958,3421.703301,1.272657,128,4
6.850000,3446.358278,3445.117707,1.240571,127,4
6.875000,3469.782550,3468.579009,1.203541,126,4
6.900000,3493.241614,3492.071110,1.170504,125,4
6.925000,3516.709212,3515.563031,1.146181,124,4
6.950000,3540.171482,3539.040579,1.130902,123,4
6.975000,3563.621067,3562.497853,1.123214,122,4
7.000000,3587.058905,3585.930804,1.128101,121,4
7.025000,3610.503980,3609.361865,1.142115,120,4
7.050000,3633.977158,3632.818442,1.158716,119,4
7.075000,3657.491529,3656.318486,1.173043,118,4
7.100000,3681.054033,3679.870156,1.183877,117,4
7.125000,3704.674121,3703.484544,1.189577,116,4
7.150000,3728.338039,3727.141259,1.196780,115,4
7.175000,3752.049654,3750.842459,1.207195,114,4
7.200000,3775.786199,3774.570305,1.215894,113,4
7.225000,3799.539570,3798.325522,1.214047,112,4
7.250000,3823.290794,3822.094730,1.196063,111,4
7.275000,3847.085249,3845.923820,1.161429,110,4
7.300000,3870.934405,3869.816198,1.118207,109,4
7.325000,3894.829945,3893.750822,1.079123,108,4
7.350000,3918.801669,3917.744946,1.056724,107,4
7.375000,3942.818675,3941.769039,1.049636,106,4
7.400000,3966.866142,3965.808762,1.057379,105,4
7.425000,3990.950062,3989.869607,1.080456,104,4
7.450000,4014.988699,4013.877061,1.111638,103,4
7.475000,4038.995563,4037.846545,1.149019,102,4
7.500000,4063.004076,4061.819118,1.184958,101,4
