# MSD for model_b_600K from trajectories/model_b_ramp_600K.lammpstrj
# unwrapped=True; n_li=4; dt_fs=0.25; frame_steps=100; frame_dt_ps=0.025000
# columns: lag time (ps), 3D MSD, x-y MSD, z MSD (all A^2), time origins averaged, Li atoms averaged
time_ps,msd_3d_A2,msd_xy_A2,msd_z_A2,n_origins,n_li
0.000000,0.000000,0.000000,0.000000,0,4
0.025000,0.088802,0.061547,0.027254,400,4
0.050000,0.293732,0.200516,0.093217,399,4
0.075000,0.549394,0.383778,0.165616,398,4
0.100000,0.817517,0.602932,0.214585,397,4
0.125000,1.076651,0.851318,0.225333,396,4
0.150000,1.324364,1.122660,0.201703,395,4
0.175000,1.573905,1.412058,0.161846,394,4
0.200000,1.852155,1.723231,0.128924,393,4
0.225000,2.177343,2.057776,0.119566,392,4
0.250000,2.552977,2.415488,0.137489,391,4
0.275000,2.969014,2.796506,0.172509,390,4
0.300000,3.407400,3.199744,0.207656,389,4
0.325000,3.852338,3.623922,0.228416,388,4
0.350000,4.293311,4.064567,0.228744,387,4
0.375000,4.731914,4.519093,0.212821,386,4
0.400000,5.182616,4.990942,0.191674,385,4
0.425000,5.658925,5.481617,0.177308,384,4
0.450000,6.166659,5.989998,0.176662,383,4
0.475000,6.708057,6.519439,0.188618,382,4
0.500000,7.274348,7.067919,0.206429,381,4
0.525000,7.859835,7.637559,0.222276,380,4
0.550000,8.459459,8.228386,0.231073,379,4
0.575000,9.066508,8.834014,0.232494,378,4
0.600000,9.680842,9.451084,0.229758,377,4
0.625000,10.305739,10.079197,0.226543,376,4
0.650000,10.944160,10.718510,0.225650,375,4
0.675000,11.594255,11.366146,0.228109,374,4
0.700000,12.254259,12.021284,0.232975,373,4
0.725000,12.925461,12.687804,0.237657,372,4
0.750000,13.608914,13.369161,0.239752,371,4
0.775000,14.300816,14.062879,0.237937,370,4
0.800000,15.001537,14.768966,0.232571,369,4
0.825000,15.714263,15.488074,0.226189,368,4
0.850000,16.437838,16.215066,0.222772,367,4
0.875000,17.172794,16.947900,0.224894,366,4
0.900000,17.922110,17.689534,0.232576,365,4
0.925000,18.685048,18.441804,0.243244,364,4
0.950000,19.457961,19.204945,0.253016,363,4
0.975000,20.238997,19.981283,0.257714,362,4
1.000000,21.030554,20.775618,0.254936,361,4
1.025000,21.832397,21.586749,0.245648,360,4
1.050000,22.645485,22.411462,0.234023,359,4
1.075000,23.474013,23.248415,0.225598,358,4
1.100000,24.321970,24.097809,0.224160,357,4
1.125000,25.190687,24.960462,0.230225,356,4
1.150000,26.073003,25.832225,0.240778,355,4
1.175000,26.961828,26.711070,0.250758,354,4
1.200000,27.854710,27.599059,0.255651,353,4
1.225000,28.752189,28.498737,0.253452,352,4
1.250000,29.655970,29.410006,0.245964,351,4
1.275000,30.570779,30.333201,0.237578,350,4
1.300000,31.501155,31.268252,0.232902,349,4
1.325000,32.450302,32.214933,0.235369,348,4
1.350000,33.419867,33.174879,0.244987,347,4
1.375000,34.408340,34.149820,0.258520,346,4
1.400000,35.412085,35.140835,0.271250,345,4
1.425000,36.422724,36.143835,0.278890,344,4
1.450000,37.434812,37.155642,0.279169,343,4
1.475000,38.450697,38.177473,0.273224,342,4
1.500000,39.474532,39.209897,0.264635,341,4
1.525000,40.510924,40.253352,0.257572,340,4
1.550000,41.561311,41.306475,0.254836,339,4
1.575000,42.621107,42.363789,0.257317,338,4
1.600000,43.685340,43.421578,0.263762,337,4
1.625000,44.751251,44.479671,0.271580,336,4
1.650000,45.818982,45.541955,0.277027,335,4
1.675000,46.884306,46.606840,0.277466,334,4
1.700000,47.945324,47.672282,0.273042,333,4
1.725000,49.004507,48.738549,0.265958,332,4
1.750000,50.064560,49.805111,0.259449,331,4
1.775000,51.127590,50.870859,0.256731,330,4
1.800000,52.193606,51.934806,0.258801,329,4
1.825000,53.262428,52.998252,0.264176,328,4
1.850000,54.332999,54.062760,0.270239,327,4
1.875000,55.399427,55.125076,0.274350,326,4
1.900000,56.456911,56.181525,0.275385,325,4
1.925000,57.510020,57.235768,0.274252,324,4
1.950000,58.561551,58.288913,0.272638,323,4
1.975000,59.613285,59.341089,0.272196,322,4
2.000000,60.664761,60.390934,0.273827,321,4
2.025000,61.714794,61.437388,0.277407,320,4
2.050000,62.762745,62.480958,0.281787,319,4
2.075000,63.808468,63.522918,0.285550,318,4
2.100000,64.852986,64.564768,0.288219,317,4
2.125000,65.894845,65.605877,0.288968,316,4
2.150000,66.929862,66.642124,0.287738,315,4
2.175000,67.959284,67.674334,0.284949,314,4
2.200000,68.986306,68.704462,0.281845,313,4
2.225000,70.013006,69.733567,0.279439,312,4
2.250000,71.035468,70.757063,0.278405,311,4
2.275000,72.048343,71.769643,0.278700,310,4
2.300000,73.057624,72.776755,0.280869,309,4
2.325000,74.069096,73.783471,0.285625,308,4
2.350000,75.082952,74.790760,0.292192,307,4
2.375000,76.099246,75.800920,0.298326,306,4
2.400000,77.116247,76.814854,0.301393,305,4
2.425000,78.126204,77.826060,0.300144,304,4
2.450000,79.128291,78.833390,0.294901,303,4
2.475000,80.129869,79.842295,0.287574,302,4
2.500000,81.130463,80.849589,0.280873,301,4
2.525000,82.129158,81.852184,0.276974,300,4
2.550000,83.130608,82.853465,0.277143,299,4
2.575000,84.136257,83.855559,0.280698,298,4
